ID,Name,Reference,Category,Price,Description,Sector,Usage,Technical Sheet,Safety Sheet,Image 1
101,DECAP S,LG-PS-001,limpieza-general,25,Decapante de ceras concentrado (suelos sintéticos o duros).,Limpieza General,Preparación de Suelos,https://drive.google.com/file/d/1nQhBnweOq6xdq3cw5Pnunq_jAimZIp6m/view?usp=drivesdk,https://drive.google.com/file/d/1mh_R8A_JbJCZ2FV3kYuJ2QHMFRIx6g3U/view?usp=drivesdk,https://drive.google.com/thumbnail?id=17JIjkiiqy0QUSBI1FyDdHLgHmstjS66f&sz=w1000
102,BASIC,LG-PS-002,limpieza-general,25,Líquido base para preparación de cristalizado de suelos.,Limpieza General,Preparación de Suelos,https://drive.google.com/file/d/1y-APcjBs3SJrl967RKs3orz-ctJMpNJj/view?usp=drivesdk,https://drive.google.com/file/d/1ftplpHOlyZG_QloBlKiPUf7a1gCvFfZC/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1LPd_LrmKP-tcxVKn1Xb27ZPkvhXNoCiG&sz=w1000
103,DESCRUST MNF,LG-PS-003,limpieza-general,25,"Desincrustante especial (cal, cemento, fin de obra, ácido). Contiene inhibidores de corrosión para metales.",Limpieza General,Preparación de Suelos,https://drive.google.com/file/d/1m7b4lUcC4TQcIM5li5ZhpEfwL-DqP59O/view?usp=drivesdk,https://drive.google.com/file/d/1xrNjFyLYnrl3BgbkWg3orN-C0zhISRqr/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1DuNf3xEC4hV0pamY-o63bKGydXLtwhMu&sz=w1000
104,CRILGON 1020,LG-CS-001,limpieza-general,30,"Cristalizador suelos alto brillo (mármol, terrazo). Antideslizante.",Limpieza General,Cristalizadores de Suelos,https://drive.google.com/file/d/1nNwf1uSSKN_EeWBw7IjH9F5FzeZnWNGR/view?usp=drivesdk,https://drive.google.com/file/d/1xMsHtMNcJzBDQA3R4WqP5jUYKeytk7M0/view?usp=drivesdk,https://drive.google.com/thumbnail?id=13HIeWE_x9h9q4ltmWYMg-8u4clFmL9e3&sz=w1000
105,CRILGON 1030,LG-CS-002,limpieza-general,30,"Cristalizador suelos alto rendimiento (mármol, terrazo). No resbala ni marca pisadas.",Limpieza General,Cristalizadores de Suelos,https://drive.google.com/file/d/1Gnl2q3uK5JBX9bYPm5Oa412Zi4XljZVN/view?usp=drivesdk,https://drive.google.com/file/d/1Gpm6pjdniV9VKh81Mhu5frBOlVrOQ8fi/view?usp=drivesdk,https://drive.google.com/thumbnail?id=15pZUuJz5OpyGfN0nNSFVKHVhs704sBT9&sz=w1000
106,CRILGON 1040,LG-CS-003,limpieza-general,30,Cristalizador suelos alta resistencia (alto trasiego).,Limpieza General,Cristalizadores de Suelos,https://drive.google.com/file/d/1sULoRm-xE9CMMoq2epUK8soiYyhRTF8w/view?usp=drivesdk,https://drive.google.com/file/d/1X_W7sYW-VqNI_EE1c9FlcqQ0GqNdZLjm/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1H9WcEiOwlgNkIt3EMrkA5csVTh3yiRuX&sz=w1000
107,CERA INCOLORA,LG-CES-001,limpieza-general,28,Cera suelos incolora. Alto brillo.,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/104OTIifi3d_FSh_VZCSOxmZqocszm0wq/view?usp=drivesdk,https://drive.google.com/file/d/1LvMJxZo7WrhFhgAyRbJ82qkDxRvR7Rf1/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1NEEKlvsus8IFqCvQhffNtgjU1LMbKLoc&sz=w1000
108,CERA NEGRA,LG-CES-002,limpieza-general,28,"Cera suelos negra (goma, cemento, pizarra, terrazos). Autobrillante.",Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1X9P9-uX6nm4TBMB91nXNwylCaNdg1LBm/view?usp=drivesdk,https://drive.google.com/file/d/1qzztakkT1yI_4CTFCZI7Drh7Z4m4NiRn/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1gPHzXCBJy6TcOv0xWhknIbFwbzIA1nJl&sz=w1000
109,CERA ROJA,LG-CES-003,limpieza-general,28,Cera suelos roja. Autobrillante.,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1es02iApkTRpeKTQ2ZxLUsnliMKyDQRy1/view?usp=drivesdk,https://drive.google.com/file/d/1E8AMGQcOJXdgO5CdfP5EidJHiDR0AimQ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1o15xgkTL7gyNxVcZEZ6BOApneSnJEZYE&sz=w1000
110,PLASTIC,LG-CES-004,limpieza-general,32,"Emulsión autobrillante (vinílicos, plásticos, sintasol).",Limpieza General,"Ceras, Emulsiones y Selladores",,https://drive.google.com/file/d/1o1lP1n294ijtkH7SM1dT91PdGvkdps33/view?usp=drivesdk,https://drive.google.com/thumbnail?id=128dE9k6hb5Enmx15LJQgc35rflWTcrw8&sz=w1000
111,PLASTIC PLUS,LG-CES-005,limpieza-general,35,"Emulsión metalizada alta resistencia (sensación de ""mojado"").",Limpieza General,"Ceras, Emulsiones y Selladores",,https://drive.google.com/file/d/1RTZ4kP7jFpEh39JZ-w9BSq6y3DlONEIC/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1KV3m5dC9cISCoFxFFMMtqH6dnB3sszzp&sz=w1000
112,PLASTIC INK,LG-CES-006,limpieza-general,33,Cera polimérica mate (suelos sintéticos o porosos). Brillo moderado.,Limpieza General,"Ceras, Emulsiones y Selladores",,https://drive.google.com/file/d/1BvTtEeiHa5W78kK_pkxcduInSOIIHB8X/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1KcyDXR0N_Sg49T9YPdv1BkWE-T61DUuY&sz=w1000
113,FINISH,LG-CES-007,limpieza-general,31,Cera acabados (abrillantado ultra-speed o acabado).,Limpieza General,"Ceras, Emulsiones y Selladores",https://drive.google.com/file/d/1JxdAleWmYhn6VwYux8inTUBPqEup36_h/view?usp=drivesdk,https://drive.google.com/file/d/17A6JnLl7fkCaf5JWjBrsQVkPSeL6vXKs/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1jqw6QtfZOtKrOysZ4LfnYvV8v1xPacDP&sz=w1000
114,SELLEX,LG-CES-008,limpieza-general,29,Sellador en base acuosa.,Limpieza General,"Ceras, Emulsiones y Selladores",,https://drive.google.com/file/d/1-HptwpoI_9oLbqejDSzfZrr3TOCJufhu/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1giZUIMCyJodNqjokeJJQYJVaEjPDj_dm&sz=w1000
